timestamp,type,status,amount,complete_time
1609711200,1,5,81702,45
1609714800,2,0,92173,40
1609718400,2,1,68639,52
1609722000,2,6,95561,38
1609725600,3,4,121526,30
1609729200,2,5,118214,31
1609732800,1,4,88584,41
1609736400,2,4,82973,43
1609740000,2,0,125032,29
1609743600,2,6,109615,33
1609747200,2,4,92442,40
1609750800,3,5,110760,33
1609754400,3,4,117250,31
1609758000,3,3,65837,55
1609761600,1,0,103454,35
1609765200,3,4,80370,45
1609768800,3,5,96234,38
1609772400,2,4,78090,47
1609776000,1,1,76535,47
1609779600,1,5,125126,29
1609783200,1,5,73858,50
1609786800,1,0,112994,32
1609790400,3,6,123350,29
1609794000,1,4,90989,40
1609797600,3,5,113271,32
1609801200,1,6,79958,45
1609804800,2,6,103297,35
1609808400,2,3,87803,41
1609812000,1,2,114831,32
1609815600,1,5,128098,28
1609819200,2,0,65669,55
1609822800,2,6,112903,32
1609826400,3,0,117044,31
1609830000,1,2,119113,30
1609833600,1,6,111218,33
1609837200,3,5,83711,43
1609840800,3,1,116989,31
1609844400,3,1,130544,27
1609848000,3,1,76177,47
1609851600,3,6,106739,34
1609855200,3,5,107316,34
1609858800,2,0,94613,38
1609862400,3,0,113855,32
1609866000,1,3,85482,43
1609869600,2,5,130867,27
1609873200,3,6,128936,28
1609876800,2,0,122243,30
1609880400,3,6,65647,55
1609884000,2,4,75258,50
1609887600,1,4,124158,29
1609891200,2,3,102742,35
1609894800,2,5,122890,29
1609898400,1,1,100785,37
1609902000,3,1,84040,43
1609905600,2,2,70392,52
1609909200,2,3,69656,52
1609912800,1,1,96255,38
1609916400,3,4,84394,43
1609920000,3,6,121979,30
1609923600,1,3,116828,31
1609927200,1,0,103787,35
1609930800,1,0,72788,50
1609934400,1,5,109118,33
1609938000,3,3,67373,55
1609941600,1,1,122204,30
1609945200,1,6,94664,38
1609948800,2,2,68565,52
1609952400,1,1,123078,29
1609956000,1,0,88381,41
1609959600,2,3,68472,52
1609963200,1,6,66633,55
1609966800,3,6,86727,41
1609970400,2,5,92193,40
1609974000,3,0,65714,55
1609977600,2,5,92873,40
1609981200,1,5,97526,37
1609984800,2,6,115355,31
1609988400,1,1,99512,37
1609992000,3,1,77826,47
1609995600,1,3,87736,41
1609999200,1,3,94511,38
1610002800,2,2,125155,29
1610006400,1,1,78030,47
1610010000,3,4,81741,45
1610013600,1,5,116873,31
1610017200,3,6,67209,55
1610020800,2,1,95861,38
1610024400,1,3,102274,35
1610028000,3,4,67388,55
1610031600,3,2,113282,32
1610035200,3,1,66620,55
1610038800,2,6,114444,32
1610042400,3,1,77298,47
1610046000,3,5,92117,40
1610049600,3,2,95103,38
1610053200,2,1,67084,55
1610056800,2,3,113028,32
1610060400,1,2,122205,30
1610064000,2,5,96723,38
1610067600,1,4,114862,32
1610071200,2,2,76002,47
1610074800,1,5,112516,32
1610078400,1,3,114319,32
1610082000,3,1,97869,37
1610085600,1,1,73543,50
1610089200,1,3,96398,38
1610092800,2,5,122584,29
1610096400,2,4,70648,52
1610100000,1,2,67921,55
1610103600,1,1,126693,28
1610107200,2,4,127690,28
1610110800,3,1,72168,50
1610114400,3,0,113101,32
1610118000,1,3,93792,38
1610121600,3,1,123800,29
1610125200,1,3,123189,29
1610128800,3,5,93632,38
1610132400,3,2,93174,40
1610136000,2,2,92915,40
1610139600,2,2,122425,29
1610143200,3,1,125895,29
1610146800,3,6,104409,34
1610150400,3,6,68955,52
1610154000,3,4,96934,38
1610157600,3,3,121571,30
1610161200,2,6,124313,29
1610164800,1,2,89193,41
1610168400,1,5,81218,45
1610172000,3,5,91422,40
1610175600,2,5,113073,32
1610179200,3,3,129859,27
1610182800,3,5,76409,47
1610186400,3,4,103259,35
1610190000,2,1,89999,41
1610193600,2,6,96681,38
1610197200,1,4,65675,55
1610200800,3,3,93480,40
1610204400,3,0,67952,55
1610208000,2,0,125476,29
1610211600,3,5,99246,37
1610215200,2,0,88338,41
1610218800,3,4,106786,34
1610222400,1,2,105786,34
1610226000,2,0,84784,43
1610229600,1,2,109954,33
1610233200,1,5,98085,37
1610236800,3,1,106831,34
1610240400,1,4,98651,37
1610244000,3,6,128901,28
1610247600,1,6,93686,38
1610251200,1,6,105332,34
1610254800,1,5,103124,35
1610258400,2,0,77817,47
1610262000,2,1,98466,37
1610265600,3,2,75396,50
1610269200,3,5,109878,33
1610272800,1,0,73979,50
1610276400,1,4,84711,43
1610280000,3,1,119838,30
1610283600,2,5,129407,28
1610287200,2,3,67602,55
1610290800,3,6,92099,40
1610294400,2,3,82499,45
1610298000,2,6,76523,47
1610301600,1,3,88435,41
1610305200,2,0,83743,43
1610308800,1,0,90305,40
1610312400,3,2,70427,52
1610316000,2,2,81963,45
1610319600,2,2,119215,30
1610323200,1,0,112338,32
1610326800,3,1,84134,43
1610330400,1,3,103573,35
1610334000,2,5,79630,45
1610337600,2,3,86989,41
1610341200,3,4,76714,47
1610344800,1,3,71153,52
1610348400,3,3,83884,43
1610352000,1,6,110102,33
1610355600,3,1,81900,45
1610359200,1,3,93065,40
1610362800,3,5,79837,45
1610366400,3,5,107523,34
1610370000,3,1,95048,38
1610373600,1,0,130778,27
1610377200,1,4,93301,40
1610380800,2,1,92595,40
1610384400,3,5,99185,37
1610388000,3,5,66609,55
1610391600,3,3,114807,32
1610395200,2,0,110739,33
1610398800,2,1,84189,43
1610402400,3,3,127358,28
1610406000,2,0,125934,29
1610409600,1,0,90905,40
1610413200,3,5,72888,50
1610416800,1,0,79891,45
1610420400,1,4,108963,33
1610424000,3,5,99360,37
1610427600,2,4,95227,38
1610431200,3,3,84605,43
1610434800,2,1,76377,47
1610438400,3,6,127062,28
1610442000,2,2,67583,55
1610445600,1,5,71028,52
1610449200,2,6,103413,35
1610452800,2,5,72361,50
1610456400,3,1,76844,47
1610460000,3,6,69574,52
1610463600,3,3,122835,29
1610467200,3,4,94000,38
1610470800,2,5,66033,55
1610474400,2,3,80955,45
1610478000,2,2,87398,41
1610481600,1,5,104672,34
1610485200,3,1,104665,34
1610488800,2,1,104941,34
1610492400,3,1,66922,55
1610496000,2,1,117612,31
1610499600,3,1,88891,41
1610503200,3,2,95669,38
1610506800,3,4,79592,45
1610510400,3,1,87032,41
1610514000,3,6,114174,32
1610517600,2,3,117860,31
1610521200,3,3,95741,38
1610524800,3,4,110605,33
1610528400,1,6,73252,50
1610532000,1,4,130665,27
1610535600,1,3,81839,45
1610539200,2,2,115456,31
1610542800,1,2,81392,45
1610546400,2,5,94046,38
1610550000,1,1,111386,33
1610553600,3,0,97542,37
1610557200,1,4,85724,43
1610560800,3,1,86090,43
1610564400,1,3,95264,38
1610568000,2,2,96838,38
1610571600,2,4,84648,43
1610575200,1,6,88276,41
1610578800,2,0,70549,52
1610582400,3,5,115118,32
1610586000,2,1,116331,31
1610589600,1,4,123766,29
1610593200,3,5,110924,33
1610596800,2,3,106731,34
1610600400,1,5,95158,38
1610604000,3,3,95106,38
1610607600,3,3,130935,27
1610611200,2,0,84524,43
1610614800,2,5,117280,31
1610618400,3,2,111986,32
1610622000,1,3,79937,45
1610625600,3,2,107689,34
1610629200,2,0,116292,31
1610632800,3,6,125751,29
1610636400,2,3,115498,31
1610640000,3,1,93250,40
1610643600,1,2,86216,43
1610647200,3,3,72782,50
1610650800,2,1,102866,35
1610654400,2,3,88770,41
1610658000,2,0,124641,29
1610661600,3,2,87135,41
1610665200,3,2,111816,32
1610668800,3,4,77397,47
1610672400,1,3,70068,52
1610676000,1,6,119558,30
1610679600,2,1,87976,41
1610683200,1,6,125708,29
1610686800,2,5,96502,38
1610690400,1,2,126444,28
1610694000,1,6,68205,55
1610697600,1,2,103855,35
1610701200,3,5,94713,38
1610704800,1,1,113885,32
1610708400,1,1,71293,52
1610712000,1,6,127832,28
1610715600,2,2,78243,47
1610719200,3,1,119199,30
1610722800,1,4,90294,40
1610726400,2,2,91392,40
1610730000,2,5,120825,30
1610733600,2,5,99637,37
1610737200,1,0,97701,37
1610740800,1,3,127853,28
1610744400,3,1,119035,30
1610748000,3,6,121209,30
1610751600,1,3,86252,43
1610755200,3,1,100481,37
1610758800,3,6,77787,47
1610762400,2,0,83219,43
1610766000,2,3,102091,35
1610769600,1,5,127873,28
1610773200,3,5,78607,47
1610776800,3,5,93929,38
1610780400,1,6,82144,45
1610784000,1,5,85703,43
1610787600,1,1,82790,45
1610791200,3,5,123563,29
1610794800,1,2,71283,52
1610798400,1,6,88190,41
1610802000,3,6,65999,55
1610805600,3,5,128452,28
1610809200,1,4,89241,41
1610812800,2,5,126333,28
1610816400,3,0,91167,40
1610820000,3,6,93056,40
1610823600,2,2,90740,40
1610827200,1,2,69208,52
1610830800,3,1,71922,52
1610834400,2,4,123640,29
1610838000,3,0,118944,30
1610841600,1,4,75205,50
1610845200,2,4,119879,30
1610848800,2,1,88220,41
1610852400,2,4,108182,33
1610856000,1,6,129708,27
1610859600,2,1,77198,47
1610863200,1,6,130359,27
1610866800,1,6,99509,37
1610870400,1,3,117972,31
1610874000,1,1,110076,33
1610877600,1,4,112377,32
1610881200,3,5,111373,33
1610884800,1,2,120135,30
1610888400,3,1,129138,28
1610892000,2,5,89353,41
1610895600,2,1,86583,41
1610899200,1,4,127881,28
1610902800,3,3,74364,50
1610906400,3,2,128690,28
1610910000,2,3,116601,31
1610913600,2,6,93996,38
1610917200,2,3,68357,55
1610920800,3,1,91105,40
1610924400,3,6,81564,45
1610928000,1,4,131000,27
1610931600,1,3,70024,52
1610935200,3,1,120749,30
1610938800,3,3,117656,31
1610942400,3,6,105048,34
1610946000,1,3,92911,40
1610949600,1,0,106934,34
1610953200,3,0,118868,30
1610956800,1,0,107218,34
1610960400,3,4,104871,34
1610964000,3,5,78634,47
1610967600,2,0,130599,27
1610971200,3,2,130953,27
1610974800,2,4,78882,47
1610978400,3,0,111917,32
1610982000,3,3,103099,35
1610985600,1,5,107170,34
1610989200,2,5,95133,38
1610992800,1,6,74906,50
1610996400,2,2,101088,35
1611000000,1,2,95808,38
1611003600,1,4,93082,40
1611007200,1,0,65839,55
1611010800,3,5,114342,32
1611014400,3,2,116146,31
1611018000,2,5,124204,29
1611021600,2,5,96226,38
1611025200,3,6,88390,41
1611028800,3,4,75800,47
1611032400,1,4,101542,35
1611036000,2,1,88289,41
1611039600,1,6,129224,28
1611043200,2,2,87359,41
1611046800,2,6,121464,30
1611050400,2,5,76547,47
1611054000,3,5,95676,38
1611057600,3,0,102671,35
1611061200,3,2,101011,35
1611064800,1,6,78390,47
1611068400,2,3,76491,47
1611072000,1,5,96730,38
1611075600,2,0,86568,41
1611079200,3,2,73149,50
1611082800,2,1,94172,38
1611086400,2,4,87145,41
1611090000,3,4,70732,52
1611093600,3,2,72295,50
1611097200,2,5,67830,55
1611100800,2,1,76733,47
1611104400,1,1,80657,45
1611108000,3,1,104953,34
1611111600,1,1,114256,32
1611115200,1,1,70476,52
1611118800,3,2,67270,55
1611122400,2,4,87807,41
1611126000,3,2,106860,34
1611129600,3,0,127661,28
1611133200,1,6,105061,34
1611136800,1,4,99834,37
1611140400,3,6,122244,30
1611144000,2,2,66824,55
1611147600,3,5,125519,29
1611151200,3,2,127187,28
1611154800,3,3,93652,38
1611158400,1,4,108560,33
1611162000,2,0,79365,45
1611165600,1,1,74127,50
1611169200,3,2,92062,40
1611172800,3,1,103009,35
1611176400,3,4,81903,45
1611180000,1,2,77617,47
1611183600,2,2,73225,50
1611187200,1,4,99961,37
1611190800,3,5,117318,31
1611194400,2,2,98495,37
1611198000,1,1,120538,30
1611201600,3,4,123006,29
1611205200,2,0,112659,32
1611208800,2,6,91791,40
1611212400,1,0,89115,41
1611216000,3,4,129955,27
1611219600,1,3,112253,32
1611223200,1,5,84730,43
1611226800,3,5,80043,45
1611230400,2,2,99926,37
1611234000,1,1,101015,35
1611237600,2,4,76513,47
1611241200,1,0,98746,37
1611244800,1,4,93483,40
1611248400,1,0,105223,34
1611252000,1,4,76916,47
1611255600,2,4,113408,32
1611259200,1,1,67568,55
1611262800,2,4,66686,55
1611266400,2,5,128677,28
1611270000,1,1,71936,52
1611273600,3,0,97002,38
1611277200,3,5,81192,45
1611280800,1,5,88952,41
1611284400,1,2,81916,45
1611288000,1,3,114372,32
1611291600,2,0,84642,43
1611295200,1,2,114174,32
1611298800,3,1,123636,29
1611302400,2,0,99173,37
1611306000,3,1,101462,35
1611309600,2,1,81949,45
1611313200,3,1,70387,52
1611316800,2,3,113898,32
1611320400,1,2,124982,29
1611324000,2,2,99499,37
1611327600,2,0,129587,28
1611331200,1,1,92770,40
1611334800,2,0,73880,50
1611338400,2,4,115142,32
1611342000,1,5,81752,45
1611345600,3,4,74828,50
1611349200,1,4,67426,55
1611352800,1,1,92758,40
1611356400,1,3,113134,32
1611360000,3,5,92403,40
1611363600,1,0,117784,31
1611367200,2,4,67955,55
1611370800,3,1,66022,55
1611374400,1,6,85417,43
1611378000,3,0,123646,29
1611381600,3,5,73351,50
1611385200,1,4,69555,52
1611388800,2,4,127914,28
1611392400,3,4,130370,27
1611396000,1,6,65585,55
1611399600,1,3,103468,35
1611403200,2,3,104134,35
1611406800,1,5,78301,47
1611410400,1,6,111789,32
1611414000,1,5,69042,52
1611417600,2,5,117261,31
1611421200,2,5,65746,55
1611424800,1,0,126462,28
1611428400,2,4,75021,50
1611432000,1,5,102143,35
1611435600,3,6,100317,37
1611439200,1,0,105876,34
1611442800,1,0,108134,33
1611446400,2,4,115437,31
1611450000,1,5,111754,32
1611453600,1,3,103099,35
1611457200,1,4,71048,52
1611460800,2,6,72926,50
1611464400,1,5,108238,33
1611468000,3,4,110825,33
1611471600,3,5,117757,31
1611475200,2,6,105442,34
1611478800,2,1,76301,47
1611482400,1,2,96455,38
1611486000,3,6,120150,30
1611489600,3,4,129658,27
1611493200,1,2,105075,34
1611496800,3,0,116057,31
1611500400,1,6,111227,33
1611504000,2,5,127700,28
1611507600,3,0,127607,28
1611511200,1,3,83243,43
1611514800,2,6,98844,37
1611518400,3,3,83619,43
1611522000,2,3,121741,30
1611525600,3,4,113159,32
1611529200,3,3,71681,52
1611532800,2,6,101072,35
1611536400,1,4,82864,43
1611540000,2,4,130099,27
1611543600,1,1,82473,45
1611547200,2,6,68123,55
1611550800,2,2,127388,28
1611554400,1,4,105956,34
1611558000,2,2,81446,45
1611561600,2,0,72359,50
1611565200,3,6,106057,34
1611568800,1,5,66979,55
1611572400,3,0,83588,43
1611576000,2,0,67312,55
1611579600,2,4,129078,28
1611583200,2,4,113994,32
1611586800,3,3,99886,37
1611590400,2,0,125237,29
1611594000,3,3,117410,31
1611597600,2,3,103303,35
1611601200,1,4,71198,52
1611604800,1,3,126273,28
1611608400,3,6,122137,30
1611612000,2,0,104481,34
1611615600,3,6,125269,29
1611619200,3,5,115298,31
1611622800,3,1,130193,27
1611626400,3,0,89507,41
1611630000,2,3,87161,41
1611633600,3,6,103522,35
1611637200,1,5,120577,30
1611640800,1,3,78833,47
1611644400,3,5,107181,34
1611648000,3,4,119395,30
1611651600,3,5,124601,29
1611655200,1,2,91617,40
1611658800,3,1,98868,37
1611662400,1,2,66731,55
1611666000,3,4,73545,50
1611669600,2,1,97301,37
1611673200,1,2,106905,34
1611676800,2,5,77240,47
1611680400,3,6,103105,35
1611684000,3,1,71278,52
1611687600,3,0,114811,32
1611691200,2,2,90132,40
1611694800,1,5,111338,33
1611698400,1,3,109221,33
1611702000,2,4,105565,34
1611705600,1,4,124525,29
1611709200,1,1,100312,37
1611712800,1,4,66308,55
1611716400,2,5,110966,33
1611720000,3,3,66260,55
1611723600,3,3,92207,40
1611727200,3,4,89549,41
1611730800,1,2,97847,37
1611734400,3,5,88403,41
1611738000,3,4,112908,32
1611741600,3,2,89430,41
1611745200,3,0,121593,30
1611748800,2,6,95245,38
1611752400,1,1,117038,31
1611756000,2,3,125061,29
1611759600,1,0,79819,45
1611763200,2,6,95813,38
1611766800,1,6,105768,34
1611770400,2,4,67178,55
1611774000,1,0,84795,43
1611777600,1,2,128709,28
1611781200,3,2,127128,28
1611784800,3,1,121423,30
1611788400,3,0,85377,43
1611792000,2,1,84279,43
1611795600,2,0,68434,52
1611799200,3,4,104634,34
1611802800,2,4,96404,38
1611806400,1,0,107061,34
1611810000,3,0,76736,47
1611813600,3,3,83377,43
1611817200,3,2,120335,30
1611820800,3,0,108630,33
1611824400,1,6,124872,29
1611828000,2,4,100734,37
1611831600,1,5,74860,50
1611835200,2,2,101639,35
1611838800,1,0,73809,50
1611842400,2,6,117036,31
1611846000,3,4,95197,38
1611849600,1,6,111098,33
1611853200,1,3,95280,38
1611856800,3,3,93597,40
1611860400,2,6,108042,33
1611864000,2,4,76358,47
1611867600,3,5,68273,55
1611871200,1,4,87869,41
1611874800,2,6,127504,28
1611878400,2,0,68418,52
1611882000,2,1,71246,52
1611885600,3,5,117327,31
1611889200,1,6,72925,50
1611892800,3,6,120704,30
1611896400,1,4,81721,45
1611900000,3,0,79375,45
1611903600,1,1,84287,43
1611907200,1,5,109558,33
1611910800,3,2,90729,40
1611914400,1,1,86386,43
1611918000,3,6,100137,37
1611921600,2,4,77544,47
1611925200,2,3,74367,50
1611928800,3,0,97286,37
1611932400,2,4,68322,55
1611936000,2,5,102246,35
1611939600,3,3,130701,27
1611943200,2,3,97374,37
1611946800,2,4,104006,35
1611950400,2,3,83032,43
1611954000,2,1,85951,43
1611957600,2,1,76789,47
1611961200,1,0,101107,35
1611964800,1,3,85093,43
1611968400,3,4,84528,43
1611972000,2,1,114198,32
1611975600,2,6,81371,45
1611979200,1,3,120058,30
1611982800,1,1,111118,33
1611986400,3,1,116518,31
1611990000,3,4,111424,33
1611993600,1,6,91345,40
1611997200,2,0,108071,33
1612000800,2,3,75638,47
1612004400,3,5,66729,55
1612008000,2,2,69813,52
1612011600,3,0,88528,41
1612015200,1,6,86188,43
1612018800,3,4,96616,38
1612022400,3,5,79366,45
1612026000,3,3,83008,43
1612029600,2,3,76506,47
1612033200,3,3,71867,52
1612036800,1,4,77923,47
1612040400,3,6,116223,31
1612044000,3,1,123917,29
1612047600,3,0,72078,50
1612051200,1,4,119225,30
1612054800,2,6,100286,37
1612058400,3,0,91650,40
1612062000,1,5,128331,28
1612065600,2,2,109671,33
1612069200,1,1,102359,35
1612072800,2,6,76329,47
1612076400,3,4,116776,31
1612080000,3,3,73498,50
1612083600,3,4,88513,41
1612087200,2,1,84301,43
1612090800,1,3,77467,47
1612094400,2,1,75672,47
1612098000,2,0,102182,35
1612101600,2,1,127047,28
1612105200,2,3,110439,33
1612108800,2,4,94894,38
1612112400,1,0,80312,45
1612116000,1,0,105806,34
1612119600,2,0,99815,37
1612123200,3,6,85332,43
1612126800,1,1,110727,33
1612130400,2,5,103524,35
1612134000,1,3,77554,47
1612137600,1,3,115925,31
1612141200,3,2,88134,41
1612144800,1,4,76348,47
1612148400,2,4,82755,45
1612152000,3,1,92404,40
1612155600,1,1,87839,41
1612159200,3,6,75602,47
1612162800,1,1,109382,33
1612166400,3,0,92655,40
1612170000,1,5,106971,34
1612173600,1,4,83853,43
1612177200,2,4,95153,38
1612180800,1,5,112058,32
1612184400,3,2,79724,45
1612188000,2,4,115029,32
1612191600,2,5,112178,32
1612195200,1,4,66429,55
1612198800,2,1,89903,41
1612202400,3,4,128894,28
1612206000,3,6,89982,41
1612209600,3,6,75452,50
1612213200,3,3,81177,45
1612216800,1,2,76223,47
1612220400,2,6,117666,31
1612224000,2,0,99209,37
1612227600,2,3,78639,47
1612231200,3,6,100436,37
1612234800,3,3,70641,52
1612238400,1,0,100081,37
1612242000,2,0,67753,55
1612245600,2,4,106748,34
1612249200,3,5,70544,52
1612252800,3,1,113014,32
1612256400,2,1,85978,43
1612260000,1,6,127728,28
1612263600,3,5,68221,55
1612267200,2,4,126671,28
1612270800,1,0,78314,47
1612274400,1,1,108471,33
1612278000,2,3,130504,27
1612281600,3,6,120212,30
1612285200,1,0,85710,43
1612288800,1,4,94534,38
1612292400,1,4,89651,41
1612296000,3,2,85249,43
1612299600,2,0,92903,40
1612303200,1,3,121335,30
1612306800,3,0,105801,34
1612310400,2,5,98387,37
1612314000,1,6,69096,52
1612317600,3,0,70091,52
1612321200,2,0,111290,33
1612324800,1,6,104776,34
1612328400,1,1,126875,28
1612332000,3,2,88240,41
1612335600,3,0,126102,28
1612339200,2,4,84369,43
1612342800,1,4,91298,40
1612346400,2,4,114075,32
1612350000,3,2,121607,30
1612353600,3,4,78192,47
1612357200,2,6,118398,31
1612360800,3,4,115959,31
1612364400,3,1,118354,31
1612368000,2,2,70186,52
1612371600,3,4,71568,52
1612375200,3,6,87266,41
1612378800,2,5,102578,35
1612382400,2,2,74845,50
1612386000,2,1,102440,35
1612389600,3,2,81138,45
1612393200,3,3,65615,55
1612396800,3,1,76045,47
1612400400,3,0,75790,47
1612404000,1,4,116682,31
1612407600,2,0,125081,29
1612411200,1,3,118153,31
1612414800,1,0,123978,29
1612418400,2,6,79266,45
1612422000,2,5,110223,33
1612425600,2,6,116854,31
1612429200,2,3,75996,47
1612432800,1,5,99040,37
1612436400,1,4,83752,43
1612440000,2,5,129389,28
1612443600,3,0,89463,41
1612447200,2,1,117895,31
1612450800,2,6,74526,50
1612454400,1,0,106193,34
1612458000,3,5,130159,27
1612461600,1,1,126659,28
1612465200,2,6,80630,45
1612468800,2,4,72653,50
1612472400,2,4,87514,41
1612476000,2,6,74476,50
1612479600,1,5,65907,55
1612483200,3,0,67840,55
1612486800,3,1,102004,35
1612490400,1,1,101887,35
1612494000,2,5,114716,32
1612497600,3,2,101558,35
1612501200,2,1,105733,34
1612504800,3,0,71886,52
1612508400,1,4,93679,38
1612512000,2,2,115729,31
1612515600,3,5,123547,29
1612519200,1,6,100839,35
1612522800,1,6,110423,33
1612526400,2,5,69267,52
1612530000,2,4,122375,30
1612533600,3,2,79603,45
1612537200,2,5,123545,29
1612540800,3,1,67750,55
1612544400,3,3,104715,34
1612548000,1,1,93663,38
1612551600,2,2,88246,41
1612555200,2,1,112392,32
1612558800,2,5,125105,29
1612562400,1,6,87254,41
1612566000,1,1,115336,31
1612569600,3,3,66861,55
1612573200,1,1,68589,52
1612576800,2,0,69978,52
1612580400,1,5,78145,47
1612584000,3,0,104866,34
1612587600,2,0,103647,35
1612591200,3,3,92376,40
1612594800,3,0,73357,50
1612598400,2,6,83059,43
1612602000,3,1,119913,30
1612605600,3,6,101825,35
1612609200,3,2,92536,40
1612612800,3,4,104525,34
1612616400,2,4,68304,55
1612620000,3,5,77653,47
1612623600,1,0,79210,45
1612627200,1,6,120784,30
1612630800,1,2,116605,31
1612634400,2,1,101361,35
1612638000,3,5,106500,34
1612641600,3,5,123224,29
1612645200,3,3,99965,37
1612648800,3,3,84530,43
1612652400,2,4,89335,41
1612656000,1,6,77721,47
1612659600,3,5,77815,47
1612663200,1,5,112327,32
1612666800,1,4,124559,29
1612670400,2,0,70522,52
1612674000,1,1,103210,35
1612677600,1,5,113431,32
1612681200,3,3,92308,40
1612684800,2,3,118733,31
1612688400,3,4,121310,30
1612692000,1,4,74730,50
1612695600,3,2,121879,30
1612699200,1,2,66039,55
1612702800,1,4,93041,40
1612706400,3,4,107152,34
1612710000,2,3,125895,29
1612713600,2,5,127808,28
1612717200,2,4,121463,30
1612720800,3,2,123659,29
1612724400,1,6,107750,34
1612728000,1,1,114422,32
1612731600,1,2,79955,45
1612735200,2,2,83660,43
1612738800,2,6,77229,47
1612742400,1,1,111731,32
1612746000,3,4,119436,30
1612749600,2,4,75671,47
1612753200,3,3,65841,55
1612756800,2,6,124377,29
1612760400,1,5,128796,28
1612764000,2,6,113100,32
1612767600,3,1,106989,34
1612771200,2,6,67308,55
1612774800,3,6,124001,29
1612778400,3,0,111462,33
1612782000,2,6,128034,28
1612785600,1,4,107834,34
1612789200,2,6,98757,37
1612792800,3,6,99858,37
1612796400,3,1,116214,31
1612800000,2,6,110243,33
1612803600,2,4,80940,45
1612807200,2,2,122567,29
1612810800,2,4,94152,38
1612814400,3,1,116556,31
1612818000,3,4,100120,37
1612821600,3,4,67286,55
1612825200,1,1,118243,31
1612828800,1,3,101808,35
1612832400,1,3,103821,35
1612836000,3,6,111060,33
1612839600,3,0,96574,38
1612843200,2,1,102500,35
1612846800,2,0,119243,30
1612850400,2,0,120577,30
1612854000,1,6,87062,41
1612857600,3,5,100315,37
1612861200,1,0,77116,47
1612864800,2,1,73208,50
1612868400,2,0,81793,45
1612872000,1,4,100496,37
1612875600,1,4,73325,50
1612879200,2,4,69450,52
1612882800,3,6,90645,40
1612886400,1,5,91817,40
1612890000,2,2,118894,30
1612893600,1,3,130818,27
1612897200,1,1,66330,55
1612900800,1,5,127845,28
1612904400,3,4,104654,34
1612908000,1,1,123274,29
1612911600,2,6,86937,41
1612915200,3,2,76685,47
1612918800,1,0,83911,43
1612922400,3,0,99314,37
1612926000,1,3,70358,52
1612929600,2,6,124981,29
1612933200,2,4,105943,34
1612936800,1,4,121386,30
1612940400,1,1,76308,47
1612944000,2,5,74632,50
1612947600,1,6,96245,38
1612951200,1,5,124066,29
1612954800,2,3,101703,35
1612958400,3,0,120782,30
1612962000,2,0,67153,55
1612965600,1,1,93614,38
1612969200,2,2,65753,55
1612972800,3,6,126423,28
1612976400,3,2,124304,29
1612980000,2,0,131091,27
1612983600,3,0,116106,31
1612987200,2,2,125057,29
1612990800,2,2,123941,29
1612994400,1,4,99946,37
1612998000,1,6,79355,45
1613001600,1,4,115526,31
1613005200,3,6,76830,47
1613008800,1,1,95335,38
1613012400,3,4,129794,27
1613016000,3,4,115770,31
1613019600,3,3,73081,50
1613023200,2,3,126686,28
1613026800,1,6,80622,45
1613030400,3,3,84537,43
1613034000,1,3,106574,34
